name,slug,sku_code,category,unit,unit_cost_cents,margin_percent,stock_qty,image_slug
Kit Coldre Black Light Mid Ride,kit-coldre-black-light-mid-ride,CPE-003,Coldres e Porta-Equipamentos,KIT,33500,30,0,kit-coldre-black-light-mid-ride
Coldre Premium de Neoprene,coldre-premium-de-neoprene,CPE-004,Coldres e Porta-Equipamentos,UN,2700,30,0,coldre-premium-de-neoprene
Coldre Sabre Kydex,coldre-sabre-kydex,CPE-005,Coldres e Porta-Equipamentos,UN,29700,30,0,coldre-sabre-kydex
Copo Térmico Personalizado Stanley,copo-termico-personalizado-stanley,SOU-007,Souvenires,UN,4800,30,0,copo-termico-personalizado-stanley
Distintivo para Boina,distintivo-para-boina,INS-003,Insígnias e Identificação,UN,3590,30,0,distintivo-para-boina
Divisa de Japona Cabo sem Velcro,divisa-de-japona-cabo-sem-velcro,INS-004,Insígnias e Identificação,PAR,1800,30,0,divisa-de-japona-cabo-sem-velcro
Divisa de Japona Cabo com Velcro,divisa-de-japona-cabo-com-velcro,INS-005,Insígnias e Identificação,PAR,2200,30,0,divisa-de-japona-cabo-com-velcro
Divisa de Japona Aluno-Sargento sem Velcro,divisa-de-japona-aluno-sargento-sem-velcro,INS-006,Insígnias e Identificação,PAR,2000,30,0,divisa-de-japona-aluno-sargento-sem-velcro
Divisa de Japona Aluno-Sargento com Velcro,divisa-de-japona-aluno-sargento-com-velcro,INS-007,Insígnias e Identificação,PAR,2500,30,0,divisa-de-japona-aluno-sargento-com-velcro
Divisa de Japona 3º Sargento sem Velcro,divisa-de-japona-3o-sargento-sem-velcro,INS-008,Insígnias e Identificação,PAR,2000,30,0,divisa-de-japona-3o-sargento-sem-velcro
Divisa de Japona 3º Sargento com Velcro,divisa-de-japona-3o-sargento-com-velcro,INS-009,Insígnias e Identificação,PAR,2500,30,0,divisa-de-japona-3o-sargento-com-velcro
Divisa de Japona 2º Sargento sem Velcro,divisa-de-japona-2o-sargento-sem-velcro,INS-010,Insígnias e Identificação,PAR,2200,30,0,divisa-de-japona-2o-sargento-sem-velcro
Divisa de Japona 2º Sargento com Velcro,divisa-de-japona-2o-sargento-com-velcro,INS-011,Insígnias e Identificação,PAR,2700,30,0,divisa-de-japona-2o-sargento-com-velcro
Divisa de Japona 1º Sargento sem Velcro,divisa-de-japona-1o-sargento-sem-velcro,INS-012,Insígnias e Identificação,PAR,2400,30,0,divisa-de-japona-1o-sargento-sem-velcro
Divisa de Japona 1º Sargento com Velcro,divisa-de-japona-1o-sargento-com-velcro,INS-013,Insígnias e Identificação,PAR,2900,30,0,divisa-de-japona-1o-sargento-com-velcro
Emborrachado de Breve de Curso,emborrachado-de-breve-de-curso,EMB-005,Emborrachados e Brasões,UN,1400,30,0,emborrachado-de-breve-de-curso
Emborrachado de Divisa,emborrachado-de-divisa,EMB-006,Emborrachados e Brasões,UN,750,30,0,emborrachado-de-divisa
Emborrachado Bucaneiros,emborrachado-bucaneiros,EMB-007,Emborrachados e Brasões,UN,750,30,0,emborrachado-bucaneiros
Emborrachado de Divisa para Colete — Praça,emborrachado-de-divisa-para-colete-praca,EMB-008,Emborrachados e Brasões,UN,1800,30,0,emborrachado-de-divisa-para-colete-praca
Emborrachado de Láureas,emborrachado-de-laureas,EMB-009,Emborrachados e Brasões,UN,1600,30,0,emborrachado-de-laureas
Emborrachado de Listel Geral,emborrachado-de-listel-geral,EMB-010,Emborrachados e Brasões,UN,1800,30,0,emborrachado-de-listel-geral
Emborrachado da Bandeira do Estado de São Paulo,emborrachado-da-bandeira-do-estado-de-sao-paulo,EMB-011,Emborrachados e Brasões,UN,2000,30,0,emborrachado-da-bandeira-do-estado-de-sao-paulo
Emborrachado do Logotipo PM,emborrachado-do-logotipo-pm,EMB-012,Emborrachados e Brasões,UN,2000,30,0,emborrachado-do-logotipo-pm
Placa Emborrachada PM para Colete,placa-emborrachada-pm-para-colete,EMB-013,Emborrachados e Brasões,UN,3400,30,0,placa-emborrachada-pm-para-colete
Placa Emborrachada Força Tática para Colete,placa-emborrachada-forca-tatica-para-colete,EMB-014,Emborrachados e Brasões,UN,3400,30,0,placa-emborrachada-forca-tatica-para-colete
Emborrachado de Tipo Sanguíneo,emborrachado-de-tipo-sanguineo,EMB-015,Emborrachados e Brasões,UN,900,30,0,emborrachado-de-tipo-sanguineo
Escudo Força Tática,escudo-forca-tatica,INS-014,Insígnias e Identificação,UN,2500,30,0,escudo-forca-tatica
